Wed Sep 16 21:33:58 +0000 2020	1306345608085635072	1306345608085635072	@FutureAgrics @AAUAdvancement @IDS_UK @CovidFoodFuture @FCDOResearch @FAONigeria @coronanigeria @FAOAfrica Oga blog… https://t.co/B2qcZq3qAL	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1304355791038799872	1304355791038799872	292988442	292988442	FutureAgrics	None	None	None	None	1209296985796284416	1209296985796284416	Penzy	SmalliOf30BG	Akwa Ibom, Nigeria	Now a lover of DAVIDO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Tue Sep 15 18:16:20 +0000 2020	1305933483710218242	1305933483710218242	@FutureAgrics @AAUAdvancement @IDS_UK @CovidFoodFuture @FCDOResearch @FAONigeria @coronanigeria @FAOAfrica This is… https://t.co/NVrSOfIqfV	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	1304355791038799872	1304355791038799872	292988442	292988442	FutureAgrics	None	None	None	None	1196403942	1196403942	Uche Ume	uche_ume	Lagos	ICT CONSULTANT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Mon Sep 14 02:01:04 +0000 2020	1305325663046586368	1305325663046586368	@FutureAgrics @AAUAdvancement @IDS_UK @CovidFoodFuture @FCDOResearch @FAONigeria @coronanigeria @FAOAfrica This is… https://t.co/eLLYeDvUqa	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1304355791038799872	1304355791038799872	292988442	292988442	FutureAgrics	None	None	None	None	1213543330744659968	1213543330744659968	Sonnie Gborie	GborieSonnie	Kampala, Uganda	PhD  student and graduate teaching assistant at Makerere university, kampala,Uganda	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Sep 09 06:05:40 +0000 2020	1303575280129368064	1303575280129368064	Poverty and the "Big Man's Disease"This article was published on the 3rd of April. As early as that time, many wer… https://t.co/wx7piduDJl	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	1289113159362654209	1289113159362654209	Socrates Mbamalu	SocratesMbamalu	None	Human.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Tue Aug 25 23:26:39 +0000 2020	1298401433734316033	1298401433734316033	Coronavirus Update in Nigeria, details here 👇👇👇https://t.co/kFiBJO3rUx#covid19 #coronaupdate #coronaNigeria #Takeresponsibility	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	138354637	138354637	Namagic.com	Namagiconline	Lagos,Nigeria	Have you visited http://www.namagic.com today?	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Sat Aug 22 07:33:59 +0000 2020	1297074524802883590	1297074524802883590	Someone  may benefit from this @Gidi_Traffic @fkeyamo @legitngnews @Naija_PR @coronanigeria @referencedaily https://t.co/6VJ5U5ZK0R	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1018042480808194049	1018042480808194049	SoftTalk Messenger	SoftTalkMsgr	Nigeria	SoftTalk Messenger is Nigeria's Messaging App which allows users to chat, make FREE audio and video calls and shop for genuine products and services!	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Fri Jul 17 15:06:05 +0000 2020	1284142335392178177	1284142335392178177	Have you had the time to enjoy and laugh at that video?yes?Good!Now there are 34,854 cases of corona in Nigeria… https://t.co/NzdogTPUgD	True	<a href="https://buffer.com" rel="nofollow">Buffer</a>	None	None	None	None	None	None	None	None	None	1132914733143744512	1132914733143744512	Future Minds Development Initiative	AccountableNG	None	NGO // we focus on improving societal accountability mechanism from the community level http://okadabooks.com/book/about/acc…. http://amazon.ca/ACCOUNTABLE-NI…	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Fri Jun 19 15:37:49 +0000 2020	1274003459704905733	1274003459704905733	@coronanigeria Africa needs a new social contract to fight #Covid19, argue  Spokesperson of the African Union Com… https://t.co/PhwwreGOBm	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	None	None	1240979611044974592	1240979611044974592	coronanigeria	None	None	None	None	1259420153965686784	1259420153965686784	Corona Times Blog	coronatimesblog	None	Understanding the world through #COVID19: perspectives from social sciences and humanities. Project of @huma_africa, University of Cape Town.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu Jun 18 07:33:39 +0000 2020	1273519229967503366	1273519229967503366	@coronanigeria Today, Novacyt launches three new products to support COVID-19 testing1- Exsig™ Direct 2- Exsig™… https://t.co/SOAALf8aj0	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	1271700950298828800	1271700950298828800	1240979611044974592	1240979611044974592	coronanigeria	None	None	None	None	1255122899389816832	1255122899389816832	Conqueror	Conquer43162270	Vlaanderen	Supporter of progressive biomedical science.Private investor & believer in Novacyt SA.Here for the news and sharing the news!!Trying to help.  DYOR !!	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed Jun 17 14:31:13 +0000 2020	1273261922981421058	1273261922981421058	#ncyt #alnov Ramp up testing in Nigeria with the help of Novacyt? 🇳🇬 PCR Golden Standard of PRIMERDESIGN - GENESIG… https://t.co/FldYJbXXvJ	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	None	None	None	None	None	None	None	None	None	1255122899389816832	1255122899389816832	Conqueror	Conquer43162270	Vlaanderen	Supporter of progressive biomedical science.Private investor & believer in Novacyt SA.Here for the news and sharing the news!!Trying to help.  DYOR !!	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
