Fri May 29 07:28:22 +0000 2020	1266270142276661250	1266270142276661250	COVID-19: Corp Member Donates Sanitizers and Hand Washing Buckets To Cross River State Govt |… https://t.co/nLeNyrxTIM	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01c77f653250b5ec', 'url': 'https://api.twitter.com/1.1/geo/id/01c77f653250b5ec.json', 'place_type': 'admin', 'name': 'Cross River', 'full_name': 'Cross River, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.849913, 4.586355], [7.849913, 6.90137], [9.482643, 6.90137], [9.482643, 4.586355]]]}, 'attributes': {}}	None	811931784648781825	811931784648781825	Gìďdý😈	GiddyMoney7	calabar	CHELSEA 🧢Bio Under construction🤫 Check Later	01c77f653250b5ec	https://api.twitter.com/1.1/geo/id/01c77f653250b5ec.json	admin	Cross River	Cross River, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.849913, 4.586355], [7.849913, 6.90137], [9.482643, 6.90137], [9.482643, 4.586355]]]	NULL	NULL	NULL	NULL	en
Sat Apr 11 06:11:56 +0000 2020	1248856289356234752	1248856289356234752	@FoodPantryNG educates the poor on social distancing and the #CoronaOutbreak while sharing food to the less privile… https://t.co/gqT8oJVIwD	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	1229655693399121920	1229655693399121920	FoodPantryNG	None	None	{'id': '011a942e0a0e8fb2', 'url': 'https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', 'place_type': 'admin', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]}, 'attributes': {}}	None	77998852	77998852	Adeda	tosinadeda	Nigeria	Public Relations • Communications • Digital Strategy & Marketing	011a942e0a0e8fb2	https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json	admin	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]	NULL	NULL	NULL	NULL	en
Fri Apr 10 06:31:33 +0000 2020	1248498838362411009	1248498838362411009	Nigerian Doctors, @nmanigeria Still Reject Chinese Doctors #COVIDー19 InterventionClick: https://t.co/IlqGEbSwOL… https://t.co/lRz79fskIg	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '07d9f37130484001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9f37130484001.json', 'place_type': 'poi', 'name': 'Third Mainland Bridge', 'full_name': 'Third Mainland Bridge', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.394647, 6.485549], [3.394647, 6.485549], [3.394647, 6.485549], [3.394647, 6.485549]]]}, 'attributes': {}}	None	719934970354081792	719934970354081792	Naijaloveinfo	naijaloveinfo	Nigeria	Naijaloveinfo... Truly for everyone. Online News, Videos, Online Advert & Social Media; Phone: +2349012623404; Email: naijaloveinfo@gmail.com#Naijaloveinfo	07d9f37130484001	https://api.twitter.com/1.1/geo/id/07d9f37130484001.json	poi	Third Mainland Bridge	Third Mainland Bridge	NG	Nigeria	NULL	Polygon	[[[3.394647, 6.485549], [3.394647, 6.485549], [3.394647, 6.485549], [3.394647, 6.485549]]]	NULL	NULL	NULL	NULL	en
Mon Apr 06 06:28:33 +0000 2020	1247048529350209537	1247048529350209537	NMA Opposes FG’s Move To Invite Chinese Doctors To Tackle #COVID19Nigeria https://t.co/uGEXdy84qt#vaccine… https://t.co/fd5F2rQf96	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '59b27337f38d658b', 'url': 'https://api.twitter.com/1.1/geo/id/59b27337f38d658b.json', 'place_type': 'country', 'name': 'Nigeria', 'full_name': 'Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]}, 'attributes': {}}	None	719934970354081792	719934970354081792	Naijaloveinfo	naijaloveinfo	Nigeria	Naijaloveinfo... Truly for everyone. Online News, Videos, Online Advert & Social Media; Phone: +2349012623404; Email: naijaloveinfo@gmail.com#Naijaloveinfo	59b27337f38d658b	https://api.twitter.com/1.1/geo/id/59b27337f38d658b.json	country	Nigeria	Nigeria	NG	Nigeria	NULL	Polygon	[[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]	NULL	NULL	NULL	NULL	en
Sat Apr 04 14:52:32 +0000 2020	1246450587597668352	1246450587597668352	#COVID19 Cases 209 In Nigeria Not 210, NCDC Makes Correctionhttps://t.co/hCrCoKWUvm#lockdown #COVID2019… https://t.co/j78mXenrL2	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	719934970354081792	719934970354081792	Naijaloveinfo	naijaloveinfo	Nigeria	Naijaloveinfo... Truly for everyone. Online News, Videos, Online Advert & Social Media; Phone: +2349012623404; Email: naijaloveinfo@gmail.com#Naijaloveinfo	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Wed Apr 01 08:55:12 +0000 2020	1245273497720492032	1245273497720492032	#AfterHours is so far the best album of 2020... #CoronaOutbreak or NOT @theweeknd https://t.co/E5XfjBCMsm	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '0065f09a6666479e', 'url': 'https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json', 'place_type': 'city', 'name': 'Ibadan', 'full_name': 'Ibadan, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.777011, 7.299143], [3.777011, 7.559006], [4.033582, 7.559006], [4.033582, 7.299143]]]}, 'attributes': {}}	None	185557469	185557469	Adeyemi Adeniran	yemiadeniran	Lagos, Nigeria	Technology Strategist and Entertainment Mogul - Don't ever wait for people to do the right thing #EntertainYou	0065f09a6666479e	https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json	city	Ibadan	Ibadan, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.777011, 7.299143], [3.777011, 7.559006], [4.033582, 7.559006], [4.033582, 7.299143]]]	NULL	NULL	NULL	NULL	en
Tue Mar 31 00:48:21 +0000 2020	1244788588602175489	1244788588602175489	Prince Charles recovered and tested negative. #CoronaOutbreak We need to know treatment and management care given… https://t.co/2tYTykEfZc	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '59b27337f38d658b', 'url': 'https://api.twitter.com/1.1/geo/id/59b27337f38d658b.json', 'place_type': 'country', 'name': 'Nigeria', 'full_name': 'Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]}, 'attributes': {}}	None	4584003268	4584003268	Onuigwe Vitus✍️	SirOnuigweVitus	Nigeria	📌Data Scientist #Radiographer☢️ AI Research Intern @DataScienceNIG 🌍 Mentor | Amb @deeplearningai_ | Co-organizer @PieandAIAbuja | Fin Secretary @YALIAbuja	59b27337f38d658b	https://api.twitter.com/1.1/geo/id/59b27337f38d658b.json	country	Nigeria	Nigeria	NG	Nigeria	NULL	Polygon	[[[2.665436, 4.197406], [2.665436, 13.888115], [14.677795, 13.888115], [14.677795, 4.197406]]]	NULL	NULL	NULL	NULL	en
Mon Mar 30 23:28:18 +0000 2020	1244768444010070019	1244768444010070019	Today is the last of March and also the first quarter of the #2020firstquarter. But alot has happened. From Bryant… https://t.co/O2QRgyyW7D	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '002dc37934ba062e', 'url': 'https://api.twitter.com/1.1/geo/id/002dc37934ba062e.json', 'place_type': 'admin', 'name': 'Kebbi', 'full_name': 'Kebbi, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.454589, 10.091486], [3.454589, 13.264338], [6.021232, 13.264338], [6.021232, 10.091486]]]}, 'attributes': {}}	None	821866233595183104	821866233595183104	Retired_Soldier😎	Sublazey__	Somewhere on Earth	🎮🎮 🔞. When you do good, they want great.... Keep your head up ⬆️ and do your best as long as you don’t hurt anyone....	002dc37934ba062e	https://api.twitter.com/1.1/geo/id/002dc37934ba062e.json	admin	Kebbi	Kebbi, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.454589, 10.091486], [3.454589, 13.264338], [6.021232, 13.264338], [6.021232, 10.091486]]]	NULL	NULL	NULL	NULL	en
Sat Mar 28 22:04:34 +0000 2020	1244022598079561730	1244022598079561730	If @jidesanwoolu can come up with this good thinking of giving out food items to people in Lagos in support of the… https://t.co/vTvt1IrRK3	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01eddd9d0dbec2c8', 'url': 'https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', 'place_type': 'city', 'name': 'Ikeja', 'full_name': 'Ikeja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]}, 'attributes': {}}	None	2259056019	2259056019	Balogun Saheed	SBalogun01	Lagos, Nigeria	Omo Eko Pataki Pataki Logistics Solution Agency ,Clearing and fowerder Politician with good leader Always loyal, No Betrayal	01eddd9d0dbec2c8	https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json	city	Ikeja	Ikeja, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]	NULL	NULL	NULL	NULL	en
Sat Mar 28 14:24:40 +0000 2020	1243906859322339329	1243906859322339329	One sad story about working as a plant man  ...#corona #coronaviruspandemic #coronaoutbreak… https://t.co/PMQVK4MkkI	True	<a href="http://instagram.com" rel="nofollow">Instagram</a>	None	None	None	None	None	{'type': 'Point', 'coordinates': [6.45309014, 3.25887484]}	{'type': 'Point', 'coordinates': [3.25887484, 6.45309014]}	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	123282218	123282218	OJOKO	jbruce09	Lagos, Nigeria	farmer, Terminal Equipment consultant,  lover of Nature .with God all things are possible .#S7ILLRISING #teamfollowback #hopefornigeria	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	Point	[6.45309014, 3.25887484]	NULL	[3.25887484, 6.45309014]	en
