Tue Oct 27 14:06:00 +0000 2020	1321090775296450561	1321090775296450561	Under this tweet you’d find silly grown fools making silly comments about what genuine #EndSARS protesters stood an… https://t.co/DOdK2dfDt5	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '01eddd9d0dbec2c8', 'url': 'https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', 'place_type': 'city', 'name': 'Ikeja', 'full_name': 'Ikeja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]}, 'attributes': {}}	None	161668953	161668953	OKWUCHUKWU	Enebelipaul	Think about it	Jesus lover,Optimist, peaceful deltaboy. #liebherrmobilecraneoperator...#AFC #COYG	01eddd9d0dbec2c8	https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json	city	Ikeja	Ikeja, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]	NULL	NULL	NULL	NULL	en
Tue Oct 20 07:07:34 +0000 2020	1318448760540827650	1318448760540827650	It's still out there o. So, there should be no kurukere waka.  #MaskUp if you must #EndSARSBrutalitynow… https://t.co/yvnoB3MIn8	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '0164e69e35a07dda', 'url': 'https://api.twitter.com/1.1/geo/id/0164e69e35a07dda.json', 'place_type': 'city', 'name': 'Magado', 'full_name': 'Magado, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.387401, 6.685429], [3.387401, 6.769255], [3.440677, 6.769255], [3.440677, 6.685429]]]}, 'attributes': {}}	None	57359016	57359016	terh agbedeh	terhagbedeh	Lagos	i love to blow my trumpet 'cos no one will do it for me	0164e69e35a07dda	https://api.twitter.com/1.1/geo/id/0164e69e35a07dda.json	city	Magado	Magado, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.387401, 6.685429], [3.387401, 6.769255], [3.440677, 6.769255], [3.440677, 6.685429]]]	NULL	NULL	NULL	NULL	en
Sun Oct 18 07:54:57 +0000 2020	1317735909161316354	1317735909161316354	Wash your hands thoroughly... #COVID19 #GlobalHandwashingDay #handwashing #MaskUp #HforHandwashing… https://t.co/NmILFOF09l	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '0164e69e35a07dda', 'url': 'https://api.twitter.com/1.1/geo/id/0164e69e35a07dda.json', 'place_type': 'city', 'name': 'Magado', 'full_name': 'Magado, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.387401, 6.685429], [3.387401, 6.769255], [3.440677, 6.769255], [3.440677, 6.685429]]]}, 'attributes': {}}	None	57359016	57359016	terh agbedeh	terhagbedeh	Lagos	i love to blow my trumpet 'cos no one will do it for me	0164e69e35a07dda	https://api.twitter.com/1.1/geo/id/0164e69e35a07dda.json	city	Magado	Magado, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.387401, 6.685429], [3.387401, 6.769255], [3.440677, 6.769255], [3.440677, 6.685429]]]	NULL	NULL	NULL	NULL	en
Thu Oct 15 05:50:45 +0000 2020	1316617489489502209	1316617489489502209	Don't stop washing your hands #WashYourHands #MaskUp #SocialDistance #thursdaymorning #COVID19Nigeria https://t.co/lzg5qs2G5N	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '0164e69e35a07dda', 'url': 'https://api.twitter.com/1.1/geo/id/0164e69e35a07dda.json', 'place_type': 'city', 'name': 'Magado', 'full_name': 'Magado, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.387401, 6.685429], [3.387401, 6.769255], [3.440677, 6.769255], [3.440677, 6.685429]]]}, 'attributes': {}}	None	57359016	57359016	terh agbedeh	terhagbedeh	Lagos	i love to blow my trumpet 'cos no one will do it for me	0164e69e35a07dda	https://api.twitter.com/1.1/geo/id/0164e69e35a07dda.json	city	Magado	Magado, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.387401, 6.685429], [3.387401, 6.769255], [3.440677, 6.769255], [3.440677, 6.685429]]]	NULL	NULL	NULL	NULL	en
Tue Oct 13 17:49:16 +0000 2020	1316073535064940547	1316073535064940547	#Early detection is crucial to treating cancer. Despite the negative effects of the #COVID-19 pandemic, routine can… https://t.co/F95Auep4OW	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	1302337133735223298	1302337133735223298	MedicaidCFPrograms	MedicaidcfP	Abuja, Nigeria	A strong focus on improving patient access to cancer care continuum: Screening|Diagnosis|Treatment|Psychosocial support. @medicaidcf	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Sat Oct 10 13:56:52 +0000 2020	1314927886168715265	1314927886168715265	The #walkawaycancerng campaign is a movement that would not stop until our goal to reduce the #cancer burden in Nig… https://t.co/7vkOHULcBU	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	1302337133735223298	1302337133735223298	MedicaidCFPrograms	MedicaidcfP	Abuja, Nigeria	A strong focus on improving patient access to cancer care continuum: Screening|Diagnosis|Treatment|Psychosocial support. @medicaidcf	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Tue Oct 06 14:03:50 +0000 2020	1313480085291311104	1313480085291311104	The outbreak of the #COVID-19 pandemic has changed the world but our drive to kick out #cancer has not!Join us on… https://t.co/4S11KrFAjn	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	1302337133735223298	1302337133735223298	MedicaidCFPrograms	MedicaidcfP	Abuja, Nigeria	A strong focus on improving patient access to cancer care continuum: Screening|Diagnosis|Treatment|Psychosocial support. @medicaidcf	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
Fri Oct 02 22:30:44 +0000 2020	1312158101009649664	1312158101009649664	Hope you've learnt your lesson @realDonaldTrump #MaskUp#TakeResponsibility https://t.co/ZlXrqhFPu7	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '019634185ded88a2', 'url': 'https://api.twitter.com/1.1/geo/id/019634185ded88a2.json', 'place_type': 'city', 'name': 'Warri', 'full_name': 'Warri, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[5.680678, 5.488401], [5.680678, 5.615118], [5.88101, 5.615118], [5.88101, 5.488401]]]}, 'attributes': {}}	None	292369177	292369177	🅰KℹNG🅱🅰DE 🅰Jℹ🅱🅾L🅰	Ajibola_0804	D.S.C near Warri,Nigeria	You can never convince a MONKEY that strawberry is sweeter than banana. I owe nobody any explanation for my tweets.......An ARSENAL fan 2 the core #COYG	019634185ded88a2	https://api.twitter.com/1.1/geo/id/019634185ded88a2.json	city	Warri	Warri, Nigeria	NG	Nigeria	NULL	Polygon	[[[5.680678, 5.488401], [5.680678, 5.615118], [5.88101, 5.615118], [5.88101, 5.488401]]]	NULL	NULL	NULL	NULL	en
Wed Sep 30 14:20:35 +0000 2020	1311309976116355076	1311309976116355076	No one's fears the coronavirus anymore.Today everyone in the bus kept the mask below their face,till we got to che… https://t.co/5iZlne1hc7	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	886662458655600641	886662458655600641	THE-F🔥X🌈	The_xavierniche	Lagos, Nigeria	observer,realist,extremist,futurist, social  commentator,THINKER....	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Fri Sep 25 19:28:58 +0000 2020	1309575640908271621	1309575640908271621	It’s about to go down! Mark your calendars!Join us in the fight against #cancer. #cancerawareness… https://t.co/hR2kBsPjcl	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	1309574797479809025	1309574797479809025	1302337133735223298	1302337133735223298	MedicaidcfP	None	None	{'id': '00e55e2b4c491c5f', 'url': 'https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', 'place_type': 'city', 'name': 'Abuja', 'full_name': 'Abuja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]}, 'attributes': {}}	None	1302337133735223298	1302337133735223298	MedicaidCFPrograms	MedicaidcfP	Abuja, Nigeria	A strong focus on improving patient access to cancer care continuum: Screening|Diagnosis|Treatment|Psychosocial support. @medicaidcf	00e55e2b4c491c5f	https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json	city	Abuja	Abuja, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.304554, 8.961887], [7.304554, 9.185441], [7.543634, 9.185441], [7.543634, 8.961887]]]	NULL	NULL	NULL	NULL	en
